user_id,age_group,city,subscription_plan
U0072,25-34,Bangalore,Free
U0073,18-24,Noida,Free
U0074,18-24,Mumbai,Basic
U0075,25-34,Kolkata,Free
U0076,18-24,Delhi,Free
U0077,25-34,Pune,Basic
U0078,45+,Chennai,Free
U0079,45+,Kolkata,Standard
U0080,35-44,Delhi,Standard
U0081,45+,Pune,Basic
U0082,25-34,Chennai,Basic
U0083,45+,Noida,Standard
U0084,45+,Bangalore,Free
U0085,18-24,Bangalore,Basic
U0086,35-44,Hyderabad,Free
U0087,35-44,Kolkata,Free
U0088,45+,Kolkata,Free
U0089,18-24,Noida,Free
U0090,25-34,Noida,Free
U0091,45+,Delhi,Free
U0092,35-44,Kolkata,Premium
U0093,35-44,Kolkata,Standard
U0094,25-34,Noida,Basic
U0095,45+,Delhi,Free
U0096,45+,Chennai,Premium
U0097,18-24,Noida,Basic
U0098,18-24,Delhi,Free
U0099,45+,Noida,Premium
U0100,45+,Chennai,Standard
U0101,45+,Hyderabad,Free
U0102,45+,Hyderabad,Premium
U0103,45+,Chennai,Free
U0104,25-34,Delhi,Standard
U0105,18-24,Mumbai,Free
U0106,25-34,Mumbai,Standard
U0107,45+,Pune,Free
U0108,18-24,Hyderabad,Free
U0109,18-24,Noida,Standard
U0110,45+,Noida,Standard
U0111,18-24,Noida,Basic
U0112,45+,Bangalore,Free
U0113,35-44,Chennai,Free
U0114,25-34,Chennai,Free
U0115,25-34,Noida,Basic
U0116,25-34,Pune,Basic
U0117,45+,Kolkata,Basic
U0118,18-24,Hyderabad,Standard
U0119,35-44,Hyderabad,Free
U0120,18-24,Noida,Free
U0121,45+,Chennai,Premium
U0122,18-24,Chennai,Free
U0123,18-24,Pune,Premium
U0124,18-24,Chennai,Premium
U0125,35-44,Hyderabad,Premium
U0126,35-44,Pune,Free
U0127,35-44,Delhi,Free
U0128,45+,Mumbai,Basic
U0129,35-44,Chennai,Standard
U0130,45+,Chennai,Free
U0131,45+,Kolkata,Premium
U0132,25-34,Kolkata,Basic
U0133,25-34,Mumbai,Standard
U0134,18-24,Delhi,Standard
U0135,45+,Kolkata,Free
U0136,35-44,Mumbai,Standard
U0137,18-24,Noida,Premium
U0138,25-34,Kolkata,Basic
U0139,18-24,Hyderabad,Basic
U0140,45+,Chennai,Standard
U0141,45+,Bangalore,Free
U0142,45+,Mumbai,Free
U0143,35-44,Kolkata,Free
U0144,18-24,Mumbai,Basic
U0145,18-24,Chennai,Basic
U0146,25-34,Delhi,Free
U0147,25-34,Kolkata,Free
U0148,45+,Pune,Basic
U0149,18-24,Hyderabad,Free
U0150,18-24,Kolkata,Free
U0151,18-24,Noida,Basic
U0152,35-44,Bangalore,Basic
U0153,45+,Noida,Premium
U0154,45+,Mumbai,Free
U0155,18-24,Noida,Free
U0156,45+,Mumbai,Free
U0157,18-24,Mumbai,Premium
U0158,35-44,Kolkata,Standard
U0159,18-24,Delhi,Free
U0160,18-24,Kolkata,Free
U0161,25-34,Chennai,Standard
U0162,45+,Pune,Free
U0163,45+,Pune,Standard
U0164,35-44,Pune,Basic
U0165,35-44,Bangalore,Free
U0166,45+,Bangalore,Standard
U0167,18-24,Pune,Free
U0168,18-24,Kolkata,Free
U0169,25-34,Chennai,Standard
U0170,45+,Noida,Free
U0171,45+,Pune,Basic
U0172,18-24,Chennai,Basic
U0173,35-44,Mumbai,Basic
U0174,18-24,Hyderabad,Free
U0175,35-44,Mumbai,Basic
U0176,25-34,Noida,Premium
U0177,18-24,Pune,Free
U0178,45+,Noida,Basic
U0179,18-24,Hyderabad,Basic
U0180,35-44,Hyderabad,Basic
U0181,25-34,Bangalore,Basic
U0182,18-24,Pune,Basic
U0183,18-24,Hyderabad,Free
U0184,18-24,Noida,Premium
U0185,45+,Pune,Free
U0186,35-44,Chennai,Free
U0187,35-44,Mumbai,Standard
U0188,18-24,Mumbai,Free
U0189,25-34,Mumbai,Free
U0190,25-34,Bangalore,Free
U0191,45+,Mumbai,Standard
U0192,18-24,Bangalore,Premium
U0193,45+,Delhi,Standard
U0194,18-24,Hyderabad,Free
U0195,18-24,Noida,Standard
U0196,18-24,Bangalore,Basic
U0197,25-34,Delhi,Standard
U0198,45+,Kolkata,Premium
U0199,18-24,Hyderabad,Basic
U0200,18-24,Kolkata,Standard
U0201,18-24,Chennai,Premium
U0202,25-34,Hyderabad,Standard
U0203,25-34,Pune,Premium
U0204,18-24,Hyderabad,Free
U0205,18-24,Bangalore,Free
U0206,35-44,Hyderabad,Premium
U0207,45+,Hyderabad,Basic
U0208,35-44,Noida,Basic
U0209,35-44,Hyderabad,Free
U0210,35-44,Pune,Standard
U0211,35-44,Noida,Standard
U0212,18-24,Pune,Basic
U0213,35-44,Chennai,Basic
U0214,18-24,Bangalore,Premium
U0215,35-44,Bangalore,Free
U0216,45+,Delhi,Standard
U0217,45+,Delhi,Free
U0218,35-44,Chennai,Standard
U0219,25-34,Delhi,Standard
U0220,25-34,Mumbai,Free
U0221,18-24,Chennai,Premium
U0222,45+,Pune,Free
U0223,45+,Delhi,Premium
U0224,18-24,Pune,Standard
U0225,25-34,Hyderabad,Free
U0226,18-24,Hyderabad,Basic
U0227,35-44,Mumbai,Premium
U0228,35-44,Chennai,Basic
U0229,18-24,Mumbai,Basic
U0230,25-34,Hyderabad,Free
U0231,18-24,Kolkata,Basic
U0232,18-24,Bangalore,Basic
U0233,25-34,Delhi,Free
U0234,18-24,Delhi,Premium
U0235,25-34,Pune,Premium
U0236,45+,Pune,Premium
U0237,18-24,Kolkata,Premium
U0238,25-34,Pune,Premium
U0239,18-24,Hyderabad,Basic
U0240,45+,Delhi,Basic
U0241,18-24,Delhi,Standard
U0242,35-44,Delhi,Basic
U0243,25-34,Bangalore,Premium
U0244,18-24,Bangalore,Free
U0245,45+,Noida,Premium
U0246,45+,Noida,Basic
U0247,45+,Mumbai,Free
U0248,25-34,Noida,Free
U0249,25-34,Hyderabad,Free
U0250,18-24,Hyderabad,Premium
U0251,25-34,Kolkata,Basic
U0252,18-24,Pune,Standard
U0253,45+,Noida,Free
U0254,25-34,Bangalore,Standard
U0255,25-34,Bangalore,Standard
U0256,35-44,Delhi,Basic
U0257,45+,Chennai,Premium
U0258,18-24,Pune,Free
U0259,18-24,Chennai,Standard
U0260,45+,Kolkata,Free
U0261,18-24,Mumbai,Free
U0262,25-34,Bangalore,Standard
U0263,18-24,Delhi,Basic
U0264,35-44,Kolkata,Free
U0265,45+,Kolkata,Premium
U0266,18-24,Pune,Premium
U0267,25-34,Bangalore,Basic
U0268,18-24,Pune,Premium
U0269,25-34,Bangalore,Free
U0270,25-34,Delhi,Free
U0271,35-44,Pune,Basic
U0272,25-34,Delhi,Standard
U0273,45+,Mumbai,Free
U0274,45+,Kolkata,Standard
U0275,25-34,Chennai,Standard
U0276,35-44,Mumbai,Premium
U0277,25-34,Hyderabad,Basic
U0278,25-34,Bangalore,Basic
U0279,45+,Kolkata,Free
U0280,35-44,Pune,Basic
U0281,25-34,Bangalore,Free
U0282,25-34,Noida,Free
U0283,25-34,Mumbai,Basic
U0284,25-34,Kolkata,Basic
U0285,35-44,Mumbai,Free
U0286,25-34,Delhi,Standard
U0287,45+,Chennai,Basic
U0288,35-44,Delhi,Premium
U0289,45+,Mumbai,Premium
U0290,25-34,Delhi,Free
U0291,45+,Pune,Premium
U0292,18-24,Mumbai,Free
U0293,35-44,Bangalore,Free
U0294,35-44,Kolkata,Free
U0295,35-44,Noida,Free
U0296,25-34,Noida,Basic
U0297,45+,Hyderabad,Free
U0298,35-44,Noida,Basic
U0299,18-24,Noida,Free
U0300,25-34,Bangalore,Free
U0301,18-24,Mumbai,Free
U0302,18-24,Chennai,Free
U0303,18-24,Pune,Basic
U0304,25-34,Chennai,Free
U0305,25-34,Mumbai,Standard
U0306,18-24,Mumbai,Standard
U0307,18-24,Chennai,Free
U0308,25-34,Bangalore,Premium
U0309,18-24,Delhi,Free
U0310,18-24,Noida,Standard
U0311,18-24,Hyderabad,Free
U0312,35-44,Noida,Basic
U0313,25-34,Hyderabad,Free
U0314,45+,Mumbai,Standard
U0315,25-34,Bangalore,Free
U0316,35-44,Bangalore,Premium
U0317,25-34,Bangalore,Basic
U0318,18-24,Mumbai,Basic
U0319,35-44,Bangalore,Free
U0320,18-24,Kolkata,Free
U0321,25-34,Kolkata,Free
U0322,35-44,Chennai,Free
U0323,45+,Delhi,Premium
U0324,45+,Delhi,Standard
U0325,35-44,Delhi,Basic
U0326,35-44,Hyderabad,Basic
U0327,25-34,Kolkata,Standard
U0328,18-24,Hyderabad,Free
U0329,18-24,Pune,Free
U0330,25-34,Noida,Basic
U0331,45+,Bangalore,Premium
U0332,18-24,Delhi,Free
U0333,25-34,Pune,Free
U0334,35-44,Noida,Free
U0335,35-44,Chennai,Free
U0336,35-44,Noida,Premium
U0337,35-44,Bangalore,Basic
U0338,45+,Pune,Premium
U0339,35-44,Chennai,Free
U0340,45+,Bangalore,Premium
U0341,25-34,Chennai,Free
U0342,45+,Chennai,Standard
U0343,18-24,Mumbai,Basic
U0344,45+,Mumbai,Free
U0345,45+,Pune,Free
U0346,25-34,Hyderabad,Basic
U0347,18-24,Hyderabad,Free
U0348,35-44,Delhi,Basic
U0349,45+,Chennai,Basic
U0350,35-44,Kolkata,Basic
U0351,35-44,Bangalore,Free
U0352,25-34,Noida,Free
U0353,35-44,Mumbai,Premium
U0354,18-24,Noida,Standard
U0355,18-24,Kolkata,Standard
U0356,18-24,Delhi,Basic
U0357,45+,Chennai,Basic
U0358,25-34,Kolkata,Premium
U0359,25-34,Hyderabad,Premium
U0360,25-34,Pune,Standard
U0361,18-24,Mumbai,Free
U0362,35-44,Delhi,Standard
U0363,25-34,Hyderabad,Standard
U0364,45+,Bangalore,Standard
U0365,25-34,Hyderabad,Free
U0366,18-24,Pune,Standard
U0367,35-44,Chennai,Basic
U0368,45+,Delhi,Premium
U0369,18-24,Mumbai,Standard
U0370,35-44,Noida,Free
U0371,35-44,Pune,Free
U0372,35-44,Kolkata,Basic
U0373,18-24,Delhi,Premium
U0374,35-44,Mumbai,Basic
U0375,45+,Noida,Basic
U0376,35-44,Chennai,Premium
U0377,35-44,Bangalore,Free
U0378,45+,Hyderabad,Standard
U0379,18-24,Delhi,Basic
U0380,35-44,Bangalore,Standard
U0381,25-34,Delhi,Free
U0382,18-24,Bangalore,Standard
U0383,25-34,Hyderabad,Basic
U0384,25-34,Pune,Premium
U0385,18-24,Chennai,Standard
U0386,35-44,Kolkata,Standard
U0387,45+,Hyderabad,Free
U0388,18-24,Noida,Free
U0389,35-44,Hyderabad,Standard
U0390,25-34,Bangalore,Basic
U0391,35-44,Hyderabad,Basic
U0392,35-44,Bangalore,Free
U0393,35-44,Chennai,Premium
U0394,25-34,Chennai,Basic
U0395,35-44,Mumbai,Premium
U0396,45+,Mumbai,Basic
U0397,25-34,Mumbai,Basic
U0398,35-44,Noida,Premium
U0399,45+,Hyderabad,Basic
U0400,45+,Pune,Premium
U0401,45+,Kolkata,Free
U0402,45+,Kolkata,Basic
U0403,25-34,Bangalore,Standard
U0404,45+,Delhi,Premium
U0405,35-44,Delhi,Free
U0406,18-24,Mumbai,Standard
U0407,25-34,Kolkata,Premium
U0408,35-44,Chennai,Basic
U0409,45+,Kolkata,Free
U0410,18-24,Pune,Free
U0411,45+,Delhi,Free
U0412,18-24,Bangalore,Free
U0413,18-24,Mumbai,Premium
U0414,25-34,Kolkata,Free
U0415,25-34,Bangalore,Basic
U0416,35-44,Bangalore,Basic
U0417,35-44,Chennai,Free
U0418,35-44,Hyderabad,Basic
U0419,45+,Delhi,Free
U0420,35-44,Bangalore,Basic
U0421,45+,Mumbai,Standard
U0422,35-44,Delhi,Premium
U0423,18-24,Hyderabad,Basic
U0424,45+,Kolkata,Premium
U0425,18-24,Kolkata,Basic
U0426,18-24,Chennai,Standard
U0427,35-44,Noida,Premium
U0428,45+,Chennai,Free
U0429,18-24,Pune,Basic
U0430,45+,Bangalore,Free
U0431,25-34,Bangalore,Basic
U0432,25-34,Chennai,Basic
U0433,25-34,Chennai,Basic
U0434,35-44,Hyderabad,Free
U0435,18-24,Kolkata,Premium
U0436,45+,Mumbai,Free
U0437,25-34,Mumbai,Basic
U0438,35-44,Kolkata,Free
U0439,25-34,Kolkata,Standard
U0440,18-24,Delhi,Free
U0441,45+,Kolkata,Standard
U0442,18-24,Noida,Free
U0443,35-44,Pune,Free
U0444,18-24,Hyderabad,Free
U0445,25-34,Bangalore,Free
U0446,25-34,Noida,Premium
U0447,35-44,Noida,Free
U0448,18-24,Chennai,Free
U0449,35-44,Kolkata,Premium
U0450,35-44,Mumbai,Free
U0451,35-44,Pune,Free
U0452,18-24,Bangalore,Basic
U0453,45+,Mumbai,Premium
U0454,35-44,Pune,Free
U0455,25-34,Kolkata,Free
U0456,35-44,Kolkata,Free
U0457,18-24,Pune,Basic
U0458,25-34,Delhi,Basic
U0459,45+,Bangalore,Premium
U0460,25-34,Hyderabad,Free
U0461,25-34,Chennai,Basic
U0462,25-34,Kolkata,Standard
U0463,18-24,Mumbai,Free
U0464,25-34,Delhi,Basic
U0465,18-24,Delhi,Free
U0466,25-34,Chennai,Standard
U0467,45+,Mumbai,Basic
U0468,18-24,Mumbai,Free
U0469,35-44,Chennai,Premium
U0470,18-24,Mumbai,Basic
U0471,25-34,Mumbai,Basic
U0472,18-24,Chennai,Standard
U0473,35-44,Pune,Free
U0474,18-24,Bangalore,Premium
U0475,25-34,Bangalore,Basic
U0476,45+,Pune,Standard
U0477,35-44,Mumbai,Premium
U0478,25-34,Pune,Free
U0479,25-34,Chennai,Free
U0480,45+,Chennai,Standard
U0481,35-44,Pune,Basic
U0482,25-34,Pune,Free
U0483,45+,Bangalore,Free
U0484,18-24,Bangalore,Free
U0485,35-44,Chennai,Basic
U0486,35-44,Noida,Premium
U0487,18-24,Noida,Free
U0488,45+,Kolkata,Free
U0489,35-44,Hyderabad,Free
U0490,25-34,Bangalore,Basic
U0491,25-34,Delhi,Standard
U0492,18-24,Delhi,Free
U0493,18-24,Delhi,Basic
U0494,35-44,Noida,Basic
U0495,35-44,Bangalore,Standard
U0496,18-24,Hyderabad,Standard
U0497,25-34,Chennai,Basic
U0498,35-44,Pune,Free
U0499,35-44,Delhi,Free
U0500,25-34,Delhi,Basic
