watch_id,user_id,show_id,watch_minutes,watch_date
W00121,U0153,S030,26,2026-06-18
W00122,U0382,S012,93,2026-05-06
W00123,U0228,S009,175,2026-07-22
W00124,U0432,S025,72,2026-06-05
W00125,U0214,S022,126,2026-08-21
W00126,U0386,S024,81,2026-07-19
W00127,U0395,S013,81,2026-08-12
W00128,U0277,S018,73,2026-05-05
W00129,U0338,S014,104,2026-05-18
W00130,U0166,S011,54,2026-08-14
W00131,U0217,S001,111,2026-04-01
W00132,U0425,S008,20,2026-05-11
W00133,U0214,S019,97,2026-07-01
W00134,U0041,S017,85,2026-09-06
W00135,U0377,S014,169,2026-07-30
W00136,U0463,S016,63,2026-05-21
W00137,U0086,S028,157,2026-08-29
W00138,U0161,S010,177,2026-07-11
W00139,U0416,S018,106,2026-05-06
W00140,U0002,S001,42,2026-09-12
W00141,U0233,S013,167,2026-05-12
W00142,U0417,S013,125,2026-08-24
W00143,U0154,S022,112,2026-07-06
W00144,U0194,S006,112,2026-07-03
W00145,U0090,S014,131,2026-06-15
W00146,U0498,S015,115,2026-08-13
W00147,U0375,S012,58,2026-06-12
W00148,U0360,S011,70,2026-05-17
W00149,U0451,S027,143,2026-04-20
W00150,U0009,S006,82,2026-04-30
W00151,U0359,S009,123,2026-09-17
W00152,U0204,S008,81,2026-09-02
W00153,U0178,S028,71,2026-09-15
W00154,U0084,S030,120,2026-07-13
W00155,U0251,S007,93,2026-06-28
W00156,U0208,S004,143,2026-05-03
W00157,U0314,S022,163,2026-08-26
W00158,U0383,S003,136,2026-05-15
W00159,U0297,S028,115,2026-06-02
W00160,U0014,S011,21,2026-08-03
W00161,U0087,S012,150,2026-06-12
W00162,U0025,S013,131,2026-05-08
W00163,U0147,S023,109,2026-07-16
W00164,U0173,S008,128,2026-08-29
W00165,U0309,S023,41,2026-05-25
W00166,U0307,S012,91,2026-04-30
W00167,U0454,S018,159,2026-08-03
W00168,U0037,S024,114,2026-06-20
W00169,U0059,S003,165,2026-08-04
W00170,U0202,S019,44,2026-06-04
W00171,U0445,S029,106,2026-05-22
W00172,U0391,S012,58,2026-09-07
W00173,U0350,S021,168,2026-05-08
W00174,U0442,S029,33,2026-08-13
W00175,U0404,S005,13,2026-04-25
W00176,U0220,S012,135,2026-03-25
W00177,U0020,S028,161,2026-07-21
W00178,U0050,S017,105,2026-04-27
W00179,U0105,S004,126,2026-05-14
W00180,U0354,S004,75,2026-06-25
W00181,U0335,S002,173,2026-04-18
W00182,U0262,S007,179,2026-07-12
W00183,U0243,S019,134,2026-07-28
W00184,U0268,S003,27,2026-03-23
W00185,U0040,S021,152,2026-06-30
W00186,U0225,S003,35,2026-05-11
W00187,U0008,S004,96,2026-07-09
W00188,U0298,S012,23,2026-06-23
W00189,U0334,S002,128,2026-04-01
W00190,U0293,S005,175,2026-03-31
W00191,U0493,S009,71,2026-04-26
W00192,U0316,S029,120,2026-04-06
W00193,U0014,S024,93,2026-08-12
W00194,U0130,S007,79,2026-05-09
W00195,U0145,S027,98,2026-07-15
W00196,U0028,S002,172,2026-04-21
W00197,U0229,S005,177,2026-09-04
W00198,U0460,S024,173,2026-04-11
W00199,U0301,S023,56,2026-04-18
W00200,U0287,S011,19,2026-04-06
W00201,U0195,S022,23,2026-08-20
W00202,U0080,S010,102,2026-07-26
W00203,U0266,S012,103,2026-05-29
W00204,U0361,S001,142,2026-03-27
W00205,U0276,S008,180,2026-04-27
W00206,U0460,S001,66,2026-08-04
W00207,U0064,S022,37,2026-08-03
W00208,U0121,S011,174,2026-08-16
W00209,U0175,S005,174,2026-06-28
W00210,U0305,S017,129,2026-04-27
W00211,U0044,S024,165,2026-09-05
W00212,U0367,S015,143,2026-04-10
W00213,U0108,S027,157,2026-08-01
W00214,U0370,S014,139,2026-08-19
W00215,U0457,S005,29,2026-06-13
W00216,U0282,S029,10,2026-09-04
W00217,U0119,S003,68,2026-04-17
W00218,U0325,S001,21,2026-04-14
W00219,U0490,S020,52,2026-05-21
W00220,U0126,S002,59,2026-05-11
W00221,U0285,S025,48,2026-08-08
W00222,U0223,S024,180,2026-05-13
W00223,U0178,S023,47,2026-03-23
W00224,U0340,S023,137,2026-05-27
W00225,U0126,S013,61,2026-06-19
W00226,U0336,S018,133,2026-09-06
W00227,U0375,S008,94,2026-08-27
W00228,U0129,S023,17,2026-07-08
W00229,U0157,S006,14,2026-07-30
W00230,U0495,S022,43,2026-06-11
W00231,U0193,S023,128,2026-04-23
W00232,U0218,S011,167,2026-05-20
W00233,U0114,S018,154,2026-06-19
W00234,U0026,S008,56,2026-04-24
W00235,U0232,S017,85,2026-04-04
W00236,U0475,S008,98,2026-06-21
W00237,U0302,S004,42,2026-05-31
W00238,U0001,S019,40,2026-07-28
W00239,U0464,S014,62,2026-09-06
W00240,U0304,S005,114,2026-07-14
W00241,U0090,S030,72,2026-08-20
W00242,U0073,S001,178,2026-07-05
W00243,U0089,S016,22,2026-07-18
W00244,U0073,S021,86,2026-03-24
W00245,U0159,S009,77,2026-06-07
W00246,U0098,S029,111,2026-07-11
W00247,U0494,S004,111,2026-04-20
W00248,U0019,S006,91,2026-08-01
W00249,U0397,S009,32,2026-07-30
W00250,U0339,S013,84,2026-05-17
W00251,U0129,S024,63,2026-09-18
W00252,U0455,S025,152,2026-08-08
W00253,U0065,S012,152,2026-06-08
W00254,U0405,S019,69,2026-08-01
W00255,U0093,S025,170,2026-08-25
W00256,U0305,S017,44,2026-07-19
W00257,U0428,S006,20,2026-07-26
W00258,U0355,S008,119,2026-05-07
W00259,U0462,S010,18,2026-07-11
W00260,U0003,S021,35,2026-04-24
W00261,U0328,S016,165,2026-07-14
W00262,U0117,S029,163,2026-09-06
W00263,U0153,S012,142,2026-08-22
W00264,U0482,S016,46,2026-05-25
W00265,U0463,S012,24,2026-05-20
W00266,U0043,S016,96,2026-07-17
W00267,U0326,S014,117,2026-03-23
W00268,U0379,S011,30,2026-05-19
W00269,U0407,S011,89,2026-07-12
W00270,U0303,S021,133,2026-07-17
W00271,U0399,S025,45,2026-03-28
W00272,U0203,S019,24,2026-05-08
W00273,U0324,S021,150,2026-04-06
W00274,U0470,S019,43,2026-09-03
W00275,U0334,S029,126,2026-04-09
W00276,U0052,S014,36,2026-07-12
W00277,U0157,S015,165,2026-09-03
W00278,U0291,S008,153,2026-09-18
W00279,U0106,S004,167,2026-06-15
W00280,U0146,S002,86,2026-06-08
W00281,U0132,S026,98,2026-05-25
W00282,U0350,S011,16,2026-05-08
W00283,U0351,S012,83,2026-08-22
W00284,U0039,S013,168,2026-07-24
W00285,U0071,S024,179,2026-09-12
W00286,U0445,S010,45,2026-09-17
W00287,U0084,S004,127,2026-03-31
W00288,U0263,S022,138,2026-06-20
W00289,U0172,S024,115,2026-07-12
W00290,U0047,S027,150,2026-07-28
W00291,U0375,S022,127,2026-08-24
W00292,U0277,S022,146,2026-06-22
W00293,U0026,S009,24,2026-08-13
W00294,U0010,S024,131,2026-08-27
W00295,U0121,S029,179,2026-05-09
W00296,U0072,S024,58,2026-08-03
W00297,U0154,S027,46,2026-06-14
W00298,U0068,S018,161,2026-06-12
W00299,U0019,S004,69,2026-07-27
W00300,U0167,S010,98,2026-07-04
W00301,U0146,S019,173,2026-08-01
W00302,U0458,S001,78,2026-05-18
W00303,U0175,S017,117,2026-08-12
W00304,U0226,S001,128,2026-09-03
W00305,U0149,S017,159,2026-08-26
W00306,U0432,S005,152,2026-08-26
W00307,U0419,S028,169,2026-06-17
W00308,U0011,S010,87,2026-04-27
W00309,U0077,S029,162,2026-04-16
W00310,U0258,S003,16,2026-09-17
W00311,U0085,S018,76,2026-08-07
W00312,U0042,S022,134,2026-04-01
W00313,U0167,S009,33,2026-03-30
W00314,U0188,S014,28,2026-07-13
W00315,U0068,S026,111,2026-05-18
W00316,U0042,S007,118,2026-05-07
W00317,U0494,S004,106,2026-05-12
W00318,U0164,S003,82,2026-07-11
W00319,U0136,S001,132,2026-05-18
W00320,U0070,S009,22,2026-08-04
W00321,U0049,S028,139,2026-09-14
W00322,U0444,S005,36,2026-06-29
W00323,U0160,S021,17,2026-09-10
W00324,U0230,S008,59,2026-07-11
W00325,U0067,S022,53,2026-06-11
W00326,U0381,S026,12,2026-07-02
W00327,U0342,S006,139,2026-04-06
W00328,U0215,S012,11,2026-06-18
W00329,U0102,S017,44,2026-04-07
W00330,U0354,S023,39,2026-09-03
W00331,U0116,S008,159,2026-05-01
W00332,U0300,S026,45,2026-06-17
W00333,U0453,S013,40,2026-07-04
W00334,U0303,S025,64,2026-07-15
W00335,U0208,S010,167,2026-08-12
W00336,U0121,S023,153,2026-06-29
W00337,U0012,S017,153,2026-04-23
W00338,U0396,S008,12,2026-07-04
W00339,U0144,S030,32,2026-08-22
W00340,U0348,S019,113,2026-07-12
W00341,U0118,S005,113,2026-04-07
W00342,U0248,S012,74,2026-04-04
W00343,U0121,S030,158,2026-04-25
W00344,U0084,S006,159,2026-05-22
W00345,U0466,S008,41,2026-07-05
W00346,U0161,S021,25,2026-04-17
W00347,U0460,S006,151,2026-04-12
W00348,U0292,S001,160,2026-07-03
W00349,U0114,S013,75,2026-07-08
W00350,U0361,S021,11,2026-08-13
W00351,U0475,S025,84,2026-05-24
W00352,U0323,S020,160,2026-05-24
W00353,U0154,S004,64,2026-06-08
W00354,U0262,S003,159,2026-07-28
W00355,U0427,S015,95,2026-05-12
W00356,U0316,S005,21,2026-09-03
W00357,U0239,S017,51,2026-06-30
W00358,U0166,S018,44,2026-04-14
W00359,U0158,S024,167,2026-06-14
W00360,U0462,S006,76,2026-07-03
W00361,U0336,S007,23,2026-06-12
W00362,U0073,S015,158,2026-08-26
W00363,U0163,S002,100,2026-07-12
W00364,U0130,S003,29,2026-09-13
W00365,U0466,S010,34,2026-08-01
W00366,U0450,S025,63,2026-07-29
W00367,U0289,S004,104,2026-09-11
W00368,U0270,S001,119,2026-03-24
W00369,U0336,S022,134,2026-08-18
W00370,U0436,S003,178,2026-04-02
W00371,U0390,S025,150,2026-05-30
W00372,U0117,S002,145,2026-06-12
W00373,U0405,S002,34,2026-05-21
W00374,U0079,S004,21,2026-08-25
W00375,U0288,S028,150,2026-06-04
W00376,U0031,S014,29,2026-05-25
W00377,U0146,S029,69,2026-04-29
W00378,U0447,S006,169,2026-08-26
W00379,U0349,S011,139,2026-04-06
W00380,U0060,S023,40,2026-05-16
W00381,U0499,S005,171,2026-04-17
W00382,U0266,S025,139,2026-04-22
W00383,U0382,S011,168,2026-04-26
W00384,U0056,S015,92,2026-04-23
W00385,U0393,S003,158,2026-05-21
W00386,U0329,S028,124,2026-09-13
W00387,U0263,S016,153,2026-07-20
W00388,U0252,S001,13,2026-05-20
W00389,U0260,S007,49,2026-07-02
W00390,U0273,S005,112,2026-04-03
W00391,U0380,S020,61,2026-08-28
W00392,U0420,S028,175,2026-07-07
W00393,U0231,S018,72,2026-05-26
W00394,U0485,S020,71,2026-06-27
W00395,U0256,S029,16,2026-09-05
W00396,U0155,S028,23,2026-04-16
W00397,U0455,S005,95,2026-06-21
W00398,U0133,S030,139,2026-06-09
W00399,U0062,S027,158,2026-08-24
W00400,U0246,S006,88,2026-07-12
W00401,U0149,S010,67,2026-07-25
W00402,U0376,S007,142,2026-04-20
W00403,U0065,S013,91,2026-07-05
W00404,U0485,S013,169,2026-05-25
W00405,U0164,S017,148,2026-09-17
W00406,U0191,S021,61,2026-05-26
W00407,U0256,S023,126,2026-05-16
W00408,U0282,S030,43,2026-03-27
W00409,U0052,S016,91,2026-06-28
W00410,U0232,S003,166,2026-08-05
W00411,U0422,S010,30,2026-06-27
W00412,U0042,S013,122,2026-04-12
W00413,U0105,S017,129,2026-09-08
W00414,U0393,S009,138,2026-08-03
W00415,U0130,S028,57,2026-05-01
W00416,U0029,S001,19,2026-07-24
W00417,U0242,S026,30,2026-07-09
W00418,U0284,S011,43,2026-09-09
W00419,U0264,S027,88,2026-06-02
W00420,U0401,S028,96,2026-07-27
W00421,U0344,S013,78,2026-04-02
W00422,U0416,S012,96,2026-07-26
W00423,U0101,S008,86,2026-06-04
W00424,U0200,S025,96,2026-06-20
W00425,U0043,S001,118,2026-07-11
W00426,U0435,S024,161,2026-05-29
W00427,U0017,S005,157,2026-07-03
W00428,U0277,S008,67,2026-08-18
W00429,U0415,S014,148,2026-04-19
W00430,U0436,S015,144,2026-07-01
W00431,U0499,S028,60,2026-06-30
W00432,U0491,S026,14,2026-06-27
W00433,U0261,S030,105,2026-05-23
W00434,U0008,S010,47,2026-05-02
W00435,U0111,S016,90,2026-06-09
W00436,U0223,S008,113,2026-07-10
W00437,U0409,S009,58,2026-04-27
W00438,U0292,S030,77,2026-09-03
W00439,U0078,S009,178,2026-08-02
W00440,U0217,S026,128,2026-06-27
W00441,U0190,S018,19,2026-05-10
W00442,U0149,S004,149,2026-08-16
W00443,U0347,S008,11,2026-07-29
W00444,U0374,S013,169,2026-08-13
W00445,U0351,S016,41,2026-06-20
W00446,U0288,S028,20,2026-07-15
W00447,U0010,S015,26,2026-06-24
W00448,U0424,S018,162,2026-09-16
W00449,U0488,S027,87,2026-04-26
W00450,U0124,S026,123,2026-05-30
W00451,U0278,S020,167,2026-06-29
W00452,U0468,S021,41,2026-04-20
W00453,U0435,S014,122,2026-08-02
W00454,U0376,S021,131,2026-07-20
W00455,U0032,S030,128,2026-03-27
W00456,U0039,S017,21,2026-07-11
W00457,U0233,S015,27,2026-04-10
W00458,U0149,S013,158,2026-07-29
W00459,U0126,S008,55,2026-04-18
W00460,U0360,S014,144,2026-03-27
W00461,U0151,S012,95,2026-06-04
W00462,U0150,S011,98,2026-06-16
W00463,U0022,S028,38,2026-08-25
W00464,U0269,S018,11,2026-05-07
W00465,U0029,S021,36,2026-07-08
W00466,U0050,S015,160,2026-09-05
W00467,U0088,S012,31,2026-05-29
W00468,U0171,S005,106,2026-04-19
W00469,U0184,S003,127,2026-03-24
W00470,U0019,S023,166,2026-07-09
W00471,U0030,S007,117,2026-07-19
W00472,U0367,S025,137,2026-07-26
W00473,U0229,S015,145,2026-08-06
W00474,U0362,S026,153,2026-06-29
W00475,U0072,S001,117,2026-08-19
W00476,U0261,S003,141,2026-06-26
W00477,U0104,S003,73,2026-04-25
W00478,U0362,S002,19,2026-08-28
W00479,U0405,S014,164,2026-08-11
W00480,U0066,S009,121,2026-07-04
W00481,U0013,S009,173,2026-06-13
W00482,U0086,S010,99,2026-07-30
W00483,U0314,S022,21,2026-09-03
W00484,U0209,S014,23,2026-06-24
W00485,U0121,S002,130,2026-06-02
W00486,U0020,S011,153,2026-09-16
W00487,U0243,S023,79,2026-08-26
W00488,U0312,S019,110,2026-05-28
W00489,U0186,S004,120,2026-06-08
W00490,U0381,S004,29,2026-05-21
W00491,U0394,S024,163,2026-07-19
W00492,U0293,S006,63,2026-06-17
W00493,U0488,S007,158,2026-04-13
W00494,U0202,S006,13,2026-08-22
W00495,U0188,S025,29,2026-04-03
W00496,U0273,S023,80,2026-06-05
W00497,U0004,S029,23,2026-09-04
W00498,U0003,S024,89,2026-06-01
W00499,U0186,S023,141,2026-08-09
W00500,U0376,S030,33,2026-06-02
W00501,U0162,S030,91,2026-07-22
W00502,U0403,S028,69,2026-06-01
W00503,U0403,S017,72,2026-04-10
W00504,U0366,S019,159,2026-08-04
W00505,U0152,S013,85,2026-09-08
W00506,U0030,S026,126,2026-03-23
W00507,U0415,S004,28,2026-03-30
W00508,U0432,S013,103,2026-05-03
W00509,U0183,S017,155,2026-05-30
W00510,U0319,S020,122,2026-07-23
W00511,U0251,S028,56,2026-07-24
W00512,U0459,S025,127,2026-04-20
W00513,U0301,S001,154,2026-05-09
W00514,U0198,S004,157,2026-09-18
W00515,U0240,S015,152,2026-06-29
W00516,U0198,S015,87,2026-04-06
W00517,U0124,S011,112,2026-04-29
W00518,U0137,S026,153,2026-05-13
W00519,U0325,S025,70,2026-07-19
W00520,U0138,S018,12,2026-09-03
W00521,U0461,S011,122,2026-08-17
W00522,U0350,S030,127,2026-09-01
W00523,U0493,S006,90,2026-06-24
W00524,U0365,S019,156,2026-09-14
W00525,U0426,S003,55,2026-04-23
W00526,U0410,S019,78,2026-05-21
W00527,U0349,S005,58,2026-06-24
W00528,U0405,S010,14,2026-09-10
W00529,U0356,S006,99,2026-04-29
W00530,U0260,S030,48,2026-05-31
W00531,U0498,S003,138,2026-05-05
W00532,U0280,S025,109,2026-05-31
W00533,U0326,S009,69,2026-06-12
W00534,U0364,S028,66,2026-07-27
W00535,U0031,S020,161,2026-04-04
W00536,U0473,S004,167,2026-07-01
W00537,U0408,S012,115,2026-04-27
W00538,U0414,S022,144,2026-08-29
W00539,U0163,S023,23,2026-05-20
W00540,U0120,S010,89,2026-08-17
W00541,U0400,S022,115,2026-05-19
W00542,U0217,S013,79,2026-08-17
W00543,U0044,S009,54,2026-06-21
W00544,U0228,S024,116,2026-07-01
W00545,U0084,S018,116,2026-05-04
W00546,U0441,S021,170,2026-08-04
W00547,U0475,S007,79,2026-04-25
W00548,U0127,S015,169,2026-05-03
W00549,U0248,S011,157,2026-09-08
W00550,U0472,S015,158,2026-06-09
W00551,U0426,S026,129,2026-07-13
W00552,U0384,S014,66,2026-09-01
W00553,U0165,S026,30,2026-05-31
W00554,U0082,S005,140,2026-03-27
W00555,U0087,S026,174,2026-09-10
W00556,U0472,S017,156,2026-06-29
W00557,U0371,S025,94,2026-06-29
W00558,U0384,S012,178,2026-06-12
W00559,U0161,S018,126,2026-04-19
W00560,U0196,S010,80,2026-04-08
W00561,U0086,S023,42,2026-08-16
W00562,U0081,S024,70,2026-06-21
W00563,U0061,S002,37,2026-08-02
W00564,U0442,S011,178,2026-07-19
W00565,U0423,S022,26,2026-05-02
W00566,U0098,S006,107,2026-07-30
W00567,U0065,S010,94,2026-08-16
W00568,U0005,S002,31,2026-08-11
W00569,U0112,S025,75,2026-06-24
W00570,U0330,S002,153,2026-07-08
W00571,U0368,S019,134,2026-08-06
W00572,U0167,S022,85,2026-06-12
W00573,U0344,S015,177,2026-03-23
W00574,U0294,S028,68,2026-07-20
W00575,U0138,S003,72,2026-05-01
W00576,U0049,S007,30,2026-09-09
W00577,U0020,S026,136,2026-08-07
W00578,U0068,S014,125,2026-07-04
W00579,U0214,S015,129,2026-05-10
W00580,U0232,S021,88,2026-05-21
W00581,U0214,S020,101,2026-08-19
W00582,U0270,S027,134,2026-05-07
W00583,U0489,S008,67,2026-08-14
W00584,U0284,S026,122,2026-04-21
W00585,U0447,S002,162,2026-07-25
W00586,U0248,S030,140,2026-04-21
W00587,U0456,S012,106,2026-07-16
W00588,U0042,S020,15,2026-05-07
W00589,U0167,S020,32,2026-05-27
W00590,U0089,S027,180,2026-07-12
W00591,U0403,S005,60,2026-09-09
W00592,U0267,S024,21,2026-05-18
W00593,U0074,S008,161,2026-04-07
W00594,U0476,S009,173,2026-07-20
W00595,U0485,S021,81,2026-06-15
W00596,U0055,S009,56,2026-05-23
W00597,U0399,S016,113,2026-03-26
W00598,U0210,S010,69,2026-06-23
W00599,U0468,S006,21,2026-07-15
W00600,U0386,S007,89,2026-08-22
W00601,U0387,S013,12,2026-03-31
W00602,U0283,S018,116,2026-09-17
W00603,U0040,S006,170,2026-03-25
W00604,U0220,S001,17,2026-08-23
W00605,U0101,S028,116,2026-08-23
W00606,U0101,S004,119,2026-07-17
W00607,U0246,S019,41,2026-06-03
W00608,U0137,S012,148,2026-04-23
W00609,U0302,S023,25,2026-03-29
W00610,U0129,S013,128,2026-09-04
W00611,U0021,S030,22,2026-08-12
W00612,U0162,S004,165,2026-05-22
W00613,U0102,S026,68,2026-09-05
W00614,U0247,S027,78,2026-07-13
W00615,U0025,S003,106,2026-04-09
W00616,U0196,S025,157,2026-07-26
W00617,U0418,S026,135,2026-07-18
W00618,U0133,S003,18,2026-05-30
W00619,U0372,S006,143,2026-04-23
W00620,U0211,S028,130,2026-05-20
W00621,U0395,S002,117,2026-08-28
W00622,U0364,S009,140,2026-07-15
W00623,U0076,S028,39,2026-06-20
W00624,U0474,S016,30,2026-05-27
W00625,U0156,S024,170,2026-06-13
W00626,U0469,S003,43,2026-08-02
W00627,U0041,S019,91,2026-06-21
W00628,U0314,S011,32,2026-06-17
W00629,U0176,S022,26,2026-06-05
W00630,U0325,S012,148,2026-05-26
W00631,U0350,S015,100,2026-09-03
W00632,U0419,S001,134,2026-04-15
W00633,U0272,S002,75,2026-05-25
W00634,U0483,S008,165,2026-08-27
W00635,U0047,S007,157,2026-07-28
W00636,U0124,S001,96,2026-06-10
W00637,U0128,S003,13,2026-05-11
W00638,U0442,S025,56,2026-08-26
W00639,U0294,S015,30,2026-06-28
W00640,U0227,S025,126,2026-08-14
W00641,U0437,S014,151,2026-07-04
W00642,U0484,S012,154,2026-05-29
W00643,U0039,S009,108,2026-07-12
W00644,U0252,S013,124,2026-04-25
W00645,U0225,S006,160,2026-08-08
W00646,U0443,S027,107,2026-07-29
W00647,U0376,S014,47,2026-07-18
W00648,U0142,S004,81,2026-06-07
W00649,U0190,S003,156,2026-06-06
W00650,U0030,S014,93,2026-05-17
W00651,U0369,S025,177,2026-04-25
W00652,U0344,S014,163,2026-06-27
W00653,U0102,S023,159,2026-04-07
W00654,U0432,S025,92,2026-06-15
W00655,U0110,S019,140,2026-08-26
W00656,U0426,S019,37,2026-07-14
W00657,U0468,S013,80,2026-03-30
W00658,U0206,S009,133,2026-05-19
W00659,U0375,S025,28,2026-05-17
W00660,U0431,S020,151,2026-05-16
W00661,U0120,S006,70,2026-08-11
W00662,U0164,S008,39,2026-09-17
W00663,U0265,S001,129,2026-04-06
W00664,U0308,S025,151,2026-03-28
W00665,U0203,S021,87,2026-09-05
W00666,U0222,S009,77,2026-03-30
W00667,U0476,S008,11,2026-04-21
W00668,U0361,S029,119,2026-04-17
W00669,U0086,S009,129,2026-04-18
W00670,U0127,S023,25,2026-06-17
W00671,U0477,S030,122,2026-07-13
W00672,U0432,S030,21,2026-06-23
W00673,U0035,S011,73,2026-07-02
W00674,U0494,S018,158,2026-03-24
W00675,U0325,S016,29,2026-08-01
W00676,U0357,S003,170,2026-05-09
W00677,U0201,S029,146,2026-04-03
W00678,U0324,S003,74,2026-07-21
W00679,U0008,S013,96,2026-06-16
W00680,U0431,S008,85,2026-04-01
W00681,U0438,S012,56,2026-09-18
W00682,U0015,S009,156,2026-08-29
W00683,U0026,S020,102,2026-05-01
W00684,U0406,S008,30,2026-03-28
W00685,U0307,S006,29,2026-08-15
W00686,U0157,S019,141,2026-08-08
W00687,U0311,S007,101,2026-07-03
W00688,U0028,S004,159,2026-06-12
W00689,U0076,S013,76,2026-08-30
W00690,U0342,S012,171,2026-05-10
W00691,U0347,S023,114,2026-06-29
W00692,U0257,S008,96,2026-04-09
W00693,U0422,S006,162,2026-08-07
W00694,U0210,S017,70,2026-05-14
W00695,U0268,S006,36,2026-04-19
W00696,U0136,S019,133,2026-04-08
W00697,U0362,S001,102,2026-04-29
